年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
2016,北京市,北京市,110000,110000,东部,东南侧,256691300,1309126,49438744,205943430,0.51,19.26,80.23,118198,1363,,,1354,,,,8.5,,,,792,3798000,91421,3.69,146.46,641.38,0,18,81,4,5,87,9,46,58,69,78,29,51,44,80,69,10,9,49,29,19,47,,,,,,,,,729,90005000,122749,16411,,,,351000,,6.8,,,,,,,,,,,,3340,2594,181,565,180872720,108071575,16802997,55998148,,,,5667337,16082648,,,,166431586,68330561,3221330,,,78887000,40454000,19510000,110051000,,548665725,6010,1073,,1302858,,,50812595,,64066737,2857785,8873761,566188715,1327919063,280120329,91,646,984,121,66149,64549,51787,8235,599188,43,87,,,,,121065,,,,,,,,,,,,,62290,,,,,713,110021,89411,,,48039,,78720000,,,,,19972,,1629082,,949,721895,13964015,694,3869,4760000,,,,,,,8515,,,10257,,,42802,1317328,7874,,,,,,100,,,90,,,,14590760,15176243,11175010,,,,,
2017,北京市,北京市,110000,110000,东部,东南侧,280149400,1204642,53256401,225688357,0.43,19.01,80.56,128994,1359,,,1361,543,185885,264527,-5.8,,,,813,3533000,81000,3.41,142.15,667.3,0,17,82,3,4,82,9,47,58,77,77,31,54,44,88,71,11,9,51,29,19,48,,,,,,,,,754,101828000,134994,16406,,,,297700,,6.7,,,,,,,,,,,,3231,2512,175,544,,,,,,,,5685501,20236731,,,,175963717,72584189,3387181,,,,36925000,16946697,115754000,,633859143,6341,,,2433000,,,54307875,,68194936,3617191,9645817,633825000,1379521000,289622000,92,649,984,117,69715,66635,53782,7634,592878,43,88,,,,,92277,,,,397281,15796512,185928,106948,46091,,,,,65280,,71,,,656,113700,94417,,,44940,,86070000,,,,,19374,,1749346,,,830179,8755281,,3752,5420000,10668903,3104137,,1853331,,,8494,,,3799,,,,,4282,15405,,,,,100,,74,92,58,,,15143284,15691611,11709000,,,,,
2018,北京市,北京市,110000,110000,东部,东南侧,303199787,1182479,56486120,245531188,0.39,18.63,80.98,140211,1376,,,1368,549,156625,100698,4.1,,,,819,7503000,102400,2.66,135.56,681.08,0,17,83,3,4,74,10,48,60,84,74,31,55,47,81,72,12,11,56,30,19,48,,,,,,,,,772,115628115,149843,16406,,,,354573,,6.6,,,,,,,,,,,,3197,2478,176,543,,,,,,,,5656365,15300110,,,,179385253,,3791392,,,,38733513,20260619,117476796,,694670758,6985,1639,,1731089,223039338,48785416,57859175,,74675240,4258712,10255068,704836718,1570922324,340189631,92,644,970,113,70491,68898,54531,7764,581133,43,91,,,,,90985,,,,,,211212,123496,46978,,,,,67770,,179,,,736,116279,109376,,,44175,,91230000,,,,,20278,,1765757,,,3835505,6193326,,4009,6350000,11423809,3073165,,2106181,,,8422,,,1554,,,,,15343,14988,,,,,100,,69,93,51,,,15914979,16288778,12407013,,,,,
2019,北京市,北京市,110000,110000,东部,东南侧,353710000,1131872,57159536,295418592,0.32,16.16,83.52,164220,1397,,,1387,554,153133,49152,7.4,,,,791,5514378,93500,0.36,123.24,667.7,0,16,84,0,3,65,10,45,59,86,60,30,64,47,74,69,12,7,58,33,19,50,,,,,,,,,729,126272672,173205,16410,,,,245600,,6.1,,,,,,,,,,,,3121,2471,155,495,,,,,,,,4620751,17102542,,,,190542547,,3723458,,,,,,150636524,,738919894,9740,1636,,1421299,235047999,51723764,58170994,,74082503,4334165,11360185,735759400,1643494898,373096750,93,654,941,111,68685,71271,55758,7630,585971,46,94,,,,,76517,,,,464178,22335870,226113,131716,53127,,,,,70480,,179,,,745,119574,115771,,,48151,,92420000,,,,,22325,,1661162,,,3982057,6196743,,4020,6890000,11663964,2990649,,2049447,,,7716,,,1132,,,,,3349,12961,,,,,100,,64,,42,,,16516233,16825174,12947809,,,,,
2020,北京市,北京市,110000,110000,东部,东南侧,361030000,1083090,57151049,302795861,0.3,15.83,83.87,164889,,,,,,,,,2189,1916,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,126927616,185026,,,,,257600,,1.2,,,,,,,,,,,,3028,2411,147,470,,,,,,,,,17295493,,,,210844748,,,,,,,,137163960,,759697422,10188,,,,185609687,46549453,54838866,,71161762,4109628,11382891,810351930,1811055634,,92,656,934,84,70645,59092,71035,5765,590335,49,100,,,,,46376,,,,,,,162824,63266,,,,,72410,,183,,,733,119310,118541,,,24548,,,,,,,21789,,,,,,,,,,,,,,22264,1173,,,,988,,,,,4376,9751,4376,,,,100,,,,38,,,17778150,17415956,13183824,,,,,
2021,北京市,北京市,110000,110000,东部,东南侧,402700000,1127560,72687350,328885090,0.28,18.05,81.67,183980,1414,1201,,,,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,142832359,201504,,,,,610000,,8.5,,,,,,,,,,,,3073,2428,131,514,,,,,,,,,36843749,,,,251024713,,,,,,,,148677416,,882590616,10363,,,,243198973,61184689,59323080,,72051201,4494463,11478293,860775028,1921043104,,92,667,837,83,74208,61204,74442,5598,616978,53,104,,,,,643811,,,,,,,198778,79210,,,,,75480,,204,,,720,122287,112665,,,28059,,,,,,,23075,,,,,3842939,6827087,,3972,8060000,,,,,22320,1177,,,,1004,,,,,,9590,,,,,100,,,96,33,,,18267584,14860477,13590157,609,578,116451,109334,
2022,北京市,北京市,110000,110000,东部,东南侧,416110000,1123497,66036657,348949846,0.27,15.87,83.86,190313,1428,1216,,,,,,,,,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,153565189,,,,,,240000,,0.7,,,,,,,,,,,,3141,2494,130,517,,,,,,,,,19987243,,,,274129431,,,,,,,,137942455,,906908305,10727,,,,305554835,58900240,57143582,,74691549,4887041,11711223,954968928,2124467258,,92,684,719,77,76154,62867,76699,5937,626590,55,108,,,,,414074,,,,,,,202722,88127,,,,,34920,,215,,,728,126309,114768,,,21105,,,,,,,18549,,,,,3649487,7332630,,3927,,,,,,22363,1196,,,,799,,,,,,9765,1622,,,,100,,,98,30,,,18678356,14993630,13914474,,584,115356,110224,
2023,北京市,北京市,110000,110000,东部,东南侧,437610000,1050264,65247651,371312085,0.24,14.91,84.85,200278,,,,,,,,,2186,,87.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000,41,5.2,1732020894,2,,,,,,,,,,,,,,,,,,,,,,16840812,,,729939536,,,,289506253,,,,,144626607,96636951,906022993,,,,,304662637,60000516,61810970,,79716333,5219079,12279032,1086011627,2404386126,,,,,,,,,,618348,,116,,37,22,515267,58509,,,,,,,193973,107875,28330,85369393,,,80990,,226,,,765,130831,133685,,,,,,554030,25720,,,,,,19399,,3917213,7521609,,4021,,13577778,2752332,3345760,,22433,1211,,,,896,,,,,,9428,1633,1360,26,,100,,,97,32,74.2,,18015000,15047000,14184000,628,581,118537,110034,
1990,天津市,天津市,120000,120000,东部,东南侧,3003100,307700,1799700,895700,10.246,59.928,29.826,3477,870.46,,487.41,863.7,,,,11.3,,,,,,,93.63,235.9,140.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693801,,11305,431.333,,770,,,,,,188.75,4.676,1.53,2681400,101032,,,108338,186393,,,,,,,,,,4655534,484737,,,,,,,,,,,720820,,,1493582,,,,129,16367,8315,,,448824,493672,401953,,,,,,28,809,3259,,11121,37913,47110,,51039,37.37,85.53,,,,,,39456,,,,,,,,,,30,81,6650,,,,3392,,,32034,2175,1722,447,,60291,,,15603,2228,12329,1046,1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9181563,,,,,,,,
1991,天津市,天津市,120000,120000,东部,东南侧,3373500,292600,1890100,1190700,8.673,56.028,35.296,3880,876.55,,492.19,869.44,,,,4.5,,,,,,,94.27,240.83,144.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797341,,11305,431.333,,775,,,,,,199,4.502,2.548,2830000,125470,,,108056,213983,,,,,,,,,,5385018,527582,,,,,,,,,,,1088632,,,1691910,,,,354,19656,9388,,,580916,506169,474742,,,,,,27,792,3232,,10704,37338,47762,,49898,39.47,86.55,,,,,,36545,,,,,,,,,,31,81,6445,,,,3397,,,32385,2923,1718,1196,1,82700,,,17989,2289,14537,1163,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10261578,,,,,,,,
1992,天津市,天津市,120000,120000,东部,东南侧,,,,,,,,,882.72,,496.75,,,,,4.9,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348470,,,,,,,,,,,,630548,,465235,,66388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,,,,,,,17204,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11622402,,,,,,,,
1993,天津市,天津市,120000,120000,东部,东南侧,,,,,,,,,887.73,,499.98,,,,,3.9,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11305,429,,785,,,,,,,,,3540000,158670,,,113919,214901,,,,,,,,,,,,,,,,,,,,,,1536546,,,2274197,,8964309,,,,,,,749605,,512658,,79210,,,,26,975,3243,,,37697,50458,,60247,50.5,88.7,,,,,,,,,,,,,,,,31,82,6516,,,,3182,,,33026,3243,,,,,,,18217,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13923596,,,,,,,,
1994,天津市,天津市,120000,120000,东部,东南侧,7251400,465300,4040800,2745300,6.417,55.724,37.859,,894.52,,506.35,,,,,3.4,,,,513,,,85.67,246.24,181.09,17,48,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540420,5364,11305,427,,788,,,,,,190.3,4,0.9,4079000,172000,,,128000,249253,,,,,,,,,,11017112,1098574,,,7560939,4294044,,,,,,,2225720,,,3033695,,8731011,,,,101499,,,,,,,,,,,,672,,,10170,46988,51616,,66672,53.8,89.62,,,,,,,,,,,,,,,,31,,6669,,,,,,,33373,3373,1863,,,,,,23327,2634,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19402510,,,,,,,,
1995,天津市,天津市,120000,120000,东部,东南侧,9201100,634876,5014600,3560826,6.9,54.5,38.7,,898.58,,510.2,,,,,3.7,,,,515,,,82.96,247.34,185.51,16,48,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848028,6501,11920,426,1,754,,,14.9,,,,,,4340000,199227,,,153481,,,,,,,,,,,13767035,1315101,572100,,8889234,6281137,,,,,,,2668991,694364,,3756362,,,,1389,385053,152064,,,,,,,,,,,,716,,,10490,47196,51401,,68080,60.03,88.45,,,,,,,,,,,,,,,,31,,6771,,,,,,,33693,3308,1802,,,,,,23567,2722,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22747373,,,,,,,,
1996,天津市,天津市,120000,120000,东部,东南侧,11024000,705536,5842720,4475744,6.4,53,40.6,,898.45,,513.15,,,,,2.4,,,,512,,,81.92,241.15,188.42,16,47,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120492,7394,11920,426,1,754,,,14.3,,,,,,4530000,212078,,,169936,,,,,,,,,,,14986662,1397327,572000,,10448332,8921357,,,,,,,2894065,715103,,4700400,,,,1087,392431,200587,,,,,,,,,,,,734,,,9811,48785,51202,,71354,66,88,,,,,,,,,,,,,,,,31,,6590,,,,,,,32975,3124,1579,,,,,,23659,2668,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24882100,,,,,,,,
1997,天津市,天津市,120000,120000,东部,东南侧,12404000,745480,6438916,5219603,6.01,51.91,42.08,,899.8,,515.36,,,,,0.8,,,,513,,,81.11,235.62,155.54,16,46,30,81,10,193,3,30,,,,,4,2,,,,,,,,,3,32,74,19,8,20,6,12,271,2232526,8238,11920,425,1,755,,,12.05,,,,,,4860000,239444,,,189757,,,,,,,,,,,16601519,1399726,623505,,12320662,10925415,,,,,,,4986552,808041,,5350162,,10121900,,1056,385066,251135,,,,,,,,,,,20,732,3030,,9589,36518,51048,,73630,50.33,87.75,,,,,,,,,,,,,,,,,82,6146,68,,,,,,32502,3136,1449,1640,,,,,24464,2548,20515,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33060424,,,,,,,,
1998,天津市,天津市,120000,120000,东部,东南侧,13363800,735009,6601717,6027074,5.5,49.4,45.1,,905.09,,521.37,,,,,6,,,,218,,,1.31,113.4,103.57,1,52,47,1,9,86,4,15,,,,,4,2,,,,,,,,,2,14,23,12,7,22,5,12,219,2179703,9948,11920,425,1,759,,,9.3,,,,,,5053512,250654,,,213768,,,,,,,,,,,19438928,1486896,739765,,13861652,12898292,,,,,,,5035649,1067035,,5871198,,9588778,,859,363729,351803,,,,,,,,,,,20,731,2841,,9496,37223,49420,,78651,52.31,82.67,,,,,,,,,,,,,,,,,32,7352,81,,,,482,39134,31482,3204,1511,1651,,,,,21496,2467,18584,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41428793,,,,,,,,
1999,天津市,天津市,120000,120000,东部,东南侧,14500600,710529,7119795,6670276,4.9,49.1,46,,910.17,,528.68,,,,,2.8,,,,212,,95000,1.06,110.33,100.37,0,52,47,1,9,84,4,14,,,,,4,3,,,,,,,,,2,13,21,11,7,20,5,12,203,2254343,11123,11920,425,1,764,,,10.04,,,,,,4860682,255187,,,230317,,5298,,,,22645502,12861856,1878042,7905604,,21821678,1756603,802136,,14909779,14464566,,,,,,,5035568,1169569,,6572816,,7240622,,575,362034,253203,,,,,,,,,,,21,712,2642,,9647,38414,48293,,90450,54,77,,,,,,,,,,,,,,,,,32,7622,84,,,,,,30273,3259,1546,1671,,,,,26317,2380,20049,,,,470,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48480959,,,,,,,,
2000,天津市,天津市,120000,120000,东部,东南侧,16393600,737712,8196800,7459088,4.5,50,45.5,,912,,532.51,,,,,1.3,,,,202,,105020,1.21,105.72,95.02,1,52,47,1,7,81,5,12,,,,,4,2,,,,,,,,,2,13,18,10,7,19,5,12,196,2444866,12481,11920,424,1,765,,,10.8,,,124.05,3.31,1.75,5306000,282801,294900,165100,242200,,5430,,,,26063753,14106663,1866107,10090983,120,26569777,2742658,858946,,15613877,14882733,,,,,,,5350412,1339294,,,,10590344,,626,460000,256000,,,,,,,,,,,21,690,2323,,10137,39197,46697,,117690,57.06,71.71,,,,,,,,,,,,,,,,,32,7861,86,,,2983,488,38842,30031,3474,1594,1820,,,,,26013,3079,18764,,,,563,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36961900,,,,,,,,
2001,天津市,天津市,120000,120000,东部,东南侧,18401000,785723,9045932,8569346,4.27,49.16,46.57,20155,913.98,,535.22,912.99,,,,1.8,,,,192,,113980,1.1,99.8,91.4,1,52,48,1,8,77,4,11,,,,,4,3,,,,,,,,,1,13,14,11,7,19,4,12,186,2667267,14308,11920,424,1,767,,,,,,143.33,3.9,6.36,5645000,919500,364000,240600,264600,,5561,,,,29404045,15744156,2107117,11552773,122,29832630,3265484,1127102,,17727498,16578473,,,,,,,6226043,1612662,,8326969,,15600186,969,618,463000,322000,,,,,,,,,,,33,708,1307,,12552,39922,45651,,153998,59.24,66.55,,,,,,,,,,,,,,,,31,32,8040,88,,,2803,495,40394,29215,3302,1456,1780,6,600000,,,28151,3727,19382,5037,45130,,543,80372,621834,275,214,685502,,,,,,,,,,,,,,,,,,,,,,,,,,,44911984,,,,,,,,
2002,天津市,天津市,120000,120000,东部,东南侧,20511600,840976,10019917,9652759,4.1,48.85,47.06,22380,919.05,,541.14,,,,,2.9,,,,186,488552,129000,1.09,92.68,91.73,1,50,49,1,8,71,4,10,,,,,4,4,,,,,,,,,1,13,11,12,7,20,5,12,179,2907250,16258,11920,423,1,771,,,12.5,,,137.8,3.4,6.24,5843100,794800,448800,335900,285600,,5346,,,,33231226,17218310,2364516,13648400,121,34374599,3250679,1074179,,18747625,17294952,,,,,,,7147640,1758446,1031788,9413642,,18959985,852,816,581220,380591,,,,,,,,,,,37,695,1208,,14175,40612,44922,,196892,60.52,62.72,,,,,,,,,,,,,,,,31,32,8223,89,,,2659,486,38837,23888,3457,1498,1870,5,844000,,,30530,4519,19554,6452,49700,,597,84922,818374,295,306,1249791,,,,,,,,,,,,,,,,,,,,43,55,,,,,,56323500,,,,,,,,
2003,天津市,天津市,120000,120000,东部,东南侧,24476600,895844,12453694,11127062,3.66,50.88,45.46,26532,926,,549.74,,,,,1.5,,,,191,920994,120300,0.97,97.6,92.44,1,51,48,1,7,77,4,10,13,2,12,4,5,2,4,5,3,3,17,7,2,13,,,,,,,,,174,3254148,18648,11920,419,1,777,,,14.8,,,119.3,3.08,9.465,6027800,843300,524100,432300,298300,,5341,3996,389,956,40496103,21535552,2620712,16339839,115,42020153,4013533,1244444,,19911227,17931300,,,,,,,10466915,2113876,1509252,9222673,,19150523,816,941,351297,163325,,,2045295,,3120771,19403,475804,34260200,40335100,18253200,37,664,1136,,15553,41422,43829,,245213,62,59,,,,,,,,,,,,,,,,31,32,8396,91,,,2671,485,38074,22780,3507,1281,2109,2,1150000,,,34679,5662,20072,8944,10000,,619,89727,1067333,354,383,2045731,,,,,,,21605,21571,43821,230171,3588363,86525,,,,,,,,44,61,96,,,,,,,,,,,,,
2004,天津市,天津市,120000,120000,东部,东南侧,29318800,1049613,15600533,12665722,3.58,53.21,43.2,31550,932.55,,556.17,,,,,1.9,,,,194,1018700,117700,0.87,96.82,96.22,0,50,50,1,8,77,3,9,13,2,12,3,5,3,5,5,4,5,17,8,2,13,,,,,,,,,173,3777433,21892,11920,415,1,782,,,15.7,,,125.3,1.55,12.033,5854300,690500,537300,542400,310000,,5378,4041,327,1010,53750894,27389286,3135892,23225716,119,54946118,4125320,1393472,,23815101,18420865,,,,,,,12589831,2639165,1752377,10527006,,23392318,1127,1102,558855,247243,,,2461800,,3750212,22915,553991,38385900,47502800,21169700,40,644,1099,,18973,41397,42122,,286145,60,55,,,,,,,,,,,,,,,,32,29,8269,89,,,2577,474,38876,25299,4103,1491,2457,2,1531550,,,37283,6108,19560,11613,15866,,700,92379,1375458,413,423,2674900,,,,,,,22628,22482,50192,201410,2060246,68584,,,,,,,,54,61,97,,,,,,,,,,,,,
2005,天津市,天津市,120000,120000,东部,东南侧,36976200,1124076,20510698,15341425,3.04,55.47,41.49,35783,939.31,,562.4,,,,,2.6,,,,194,543000,117100,0.81,97.51,95.8,0,50,49,1,7,78,3,9,12,2,12,3,5,2,7,5,4,4,17,8,2,13,,,,,,,,,166,4198024,25271,11920,415,1,788,,,14.7,,,137.5,1.3,8.355,5427400,682400,577800,634100,338100,,6144,4517,353,1274,67741031,34548697,3148529,30043805,122,71259252,,1862885,5515983,30586887,21554108,,,,,,,15168405,3275403,2349240,11900636,,43160074,1638,1309,732281,332885,,,3318507,,4421207,27989,672034,44174500,56844000,24624100,42,640,1062,,24876,41537,41076,,327417,57.63,53.3,,,,,,,,,,,,,,,,32,28,8694,93,,,2489,461,39491,22517,4679,1550,2961,3,1650000,,,39485,7241,19850,12375,190000,,827,113046,1650431,437,503,2073625,,,,,,,30081,29962,107701,241174,2724475,76601,,,,,,,,63,80,98,,,,,,,,,,,,,
2006,天津市,天津市,120000,120000,东部,东南侧,43591500,1181330,24882028,17528142,2.71,57.08,40.21,41163,948.89,,571.04,,,,,3.9,,,,195,1165700,116700,0.73,98.37,95.9,0,50,49,1,7,78,3,9,12,2,11,3,5,2,7,5,4,5,17,8,2,13,,,,,,,,,170,4874598,28683,11917,,,796,,,14.5,,,143.5,1.2,10.873,4714500,669600,595300,682800,354900,,6301,4347,403,1551,85276980,41571544,4250770,39454666,116,87943490,,2207124,6929954,34255906,23084929,,,,,,,18497987,4023184,3159523,13567865,,51089993,1693,1050,811156,413077,,,4170479,,5431219,33063,815828,51069400,65319400,28110200,45,607,1023,,24464,41634,39951,,357382,55.21,51.68,,,,,,,,,,,,,,,,32,28,9451,100,,,2384,401,38893,25358,5670,1632,3807,4,2270000,,,42014,8409,20290,13313,24000,,818,135751,2142151,436,602,2288500,,,,,,,22978,22925,176665,232282,3033072,66920,,,,,,,,74,85,98,,,,,,,,,,,,,
2007,天津市,天津市,120000,120000,东部,东南侧,50504000,1100987,28923641,20474322,2.18,57.27,40.54,46122,959.1,,580.34,,,,,4.4,,,,200,1376600,104619,0.74,99.31,100.17,0,50,50,1,8,78,3,11,12,2,13,4,6,2,7,6,4,6,17,8,2,13,,,,,,,,,172,6026493,34938,11760,406,,816,,,15.2,,,147.15,0.46,9.31,2743700,619100,337600,672100,325000,,6361,4343,421,1597,100750702,50906827,7004257,42839618,119,101809056,,2506099,7671218,39527318,26667399,,,,,,,23886353,5052956,3428187,16037390,,60616990,1811,906,1151856,527776,,,5404390,,6743262,223384,1100248,65438300,82420700,31651700,45,594,1003,,25166,41661,38725,,371136,53.02,51.43,,,,,,,,,,,,,,,,32,28,10297,107,,,2352,411,39708,26228,7104,1573,5253,3,2750000,,,50462,11288,23500,15671,29000,,842,151472,2855242,411,738,2498900,,,,,,,21444,21382,164662,224775,6404307,62714,,,,,,,,78,93,98,,,,,,,,,,,,,
2008,天津市,天津市,120000,120000,东部,东南侧,63543800,1226395,38208887,24108518,1.93,60.13,37.94,55473,968.87,,588.27,,,,,4.7,,,,201,1519100,129900,0.71,94.13,105.77,0,47,53,1,7,73,4,11,12,3,14,4,6,3,7,6,4,6,17,8,2,14,,,,,,,,,178,7372335,41394,11760,,,824,,,16.5,,,148.93,0.48,8.293,3141600,623000,371300,701200,336700,,6001,3971,391,1639,121286534,66283034,8049700,46953800,120,119397200,,2653457,7259500,47244100,32461400,,,,,,,34041057,6537248,4593327,20003400,,102166962,,691,,741978,,,6756186,,8677245,286530,1416985,76891200,99541600,40617300,45,586,993,,26169,41621,38474,,386437,49.85,52.1,384890,,,,,,,,,,,,,,,32,29,11070,114,,,2784,428,41212,25865,8752,1907,6579,2,2640000,,,54260,12161,27000,15096,30000,,1089,171300,3346400,396,817,4611800,,,,,,,20433,20413,220907,209844,3079450,58465,,,,,,,,79,94,98,,,,,,,,,,,,,
